supplier,iata,offer_platts,offer_period,valid_since,valid_until
Ist Jet,BEG,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Ist Jet,CMB,Market price,MP,2025-03-13,2025-03-31
Ist Jet,ESB,CIF MED USDC.UGL,1/2M,2025-03-13,2025-03-31
Ist Jet,ISL,CIF MED USDC.UGL,1/2M,2025-03-13,2025-03-31
Ist Jet,NAV,CIF MED USDC.UGL,1/2M,2025-03-13,2025-03-31
Ist Jet,SAW,CIF MED USDC.UGL,1/2M,2025-03-13,2025-03-31
Ist Jet,SKG,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Ist Jet,JMK,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Ist Jet,KVA,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Ist Jet,DBV,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Ist Jet,RHO,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Ist Jet,TGD,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Ist Jet,INI,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,PRN,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,ALG,Market price,MP,2025-03-13,2025-03-31
Jetex,BRU,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,BER,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,DRS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,ERF,Market price,MP,2025-03-13,2025-03-31
Jetex,FRA,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,FMO,Market price,MP,2025-03-13,2025-03-31
Jetex,CGN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,DUS,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,NUE,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,LEJ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,STR,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,STR,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,HAJ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,HHN,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,FMM,Market price,MP,2025-03-13,2025-03-31
Jetex,DTM,Market price,MP,2025-03-13,2025-03-31
Jetex,FDH,Market price,MP,2025-03-13,2025-03-31
Jetex,FKB,Market price,MP,2025-03-13,2025-03-31
Jetex,TLL,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,KTT,Market price,MP,2025-03-13,2025-03-31
Jetex,RVN,Market price,MP,2025-03-13,2025-03-31
Jetex,BFS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,BHX,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,MAN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,LTN,Market price,MP,2025-03-13,2025-03-31
Jetex,LTN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,LGW,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,LHR,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,SEN,Market price,MP,2025-03-13,2025-03-31
Jetex,LBA,Market price,MP,2025-03-13,2025-03-31
Jetex,NCL,Market price,MP,2025-03-13,2025-03-31
Jetex,GLA,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,EDI,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,AMS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,EIN,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,RTM,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,DUB,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,BLL,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,CPH,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,LUX,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,OSL,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,BZG,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,GDN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,KRK,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,KTW,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,LCJ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,POZ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,RZE,Market price,MP,2025-03-13,2025-03-31
Jetex,SZZ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,WAW,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,WRO,Market price,MP,2025-03-13,2025-03-31
Jetex,GOT,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,HAD,Market price,MP,2025-03-13,2025-03-31
Jetex,VXO,Market price,MP,2025-03-13,2025-03-31
Jetex,ARN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,VNO,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,MRU,Market price,MP,2025-03-13,2025-03-31
Jetex,SEZ,Market price,MP,2025-03-13,2025-03-31
Jetex,FUE,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,LPA,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,ACE,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,TFS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,TFN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,AGA,HNWE  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,FEZ,HNWE  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,RAK,HNWE  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,TNG,HNWE  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,JIB,Market price,MP,2025-03-13,2025-03-31
Jetex,CAI,Market price,MP,2025-03-13,2025-03-31
Jetex,HRG,Market price,MP,2025-03-13,2025-03-31
Jetex,LXR,Market price,MP,2025-03-13,2025-03-31
Jetex,RMF,Market price,MP,2025-03-13,2025-03-31
Jetex,SSH,Market price,MP,2025-03-13,2025-03-31
Jetex,ASW,Market price,MP,2025-03-13,2025-03-31
Jetex,ZNZ,Market price,MP,2025-03-13,2025-03-31
Jetex,LCA,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,PFO,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,DBV,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,SPU,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,ZAG,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,ZAD,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,ALC,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,BCN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,GRO,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,GRX,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,IBZ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,XRY,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,MAD,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,AGP,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,PMI,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,VLC,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,ZAZ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,SVQ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,BOD,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,TLS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,AJA,Market price,MP,2025-03-13,2025-03-31
Jetex,LYS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,MRS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,NCE,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,CDG,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,ORY,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,LIL,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,MLH,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,SXB,Market price,MP,2025-03-13,2025-03-31
Jetex,ATH,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,HER,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,EFL,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,KLX,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,KGS,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,CFU,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,KVA,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,LXS,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,JMK,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,PVK,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,RHO,FOB MED  USDC.UGL,MP,2025-03-13,2025-03-31
Jetex,CHQ,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,JSI,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,JTR,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,SKG,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,ZTH,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,BUD,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,DEB,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,KLV,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,OSR,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,PRG,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,BRQ,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,TLV,Market price,MP,2025-03-13,2025-03-31
Jetex,GRZ,Market price,MP,2025-03-13,2025-03-31
Jetex,KLU,Market price,MP,2025-03-13,2025-03-31
Jetex,LNZ,Market price,MP,2025-03-13,2025-03-31
Jetex,VIE,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,FAO,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,BAY,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,GHV,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,CLJ,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,OTP,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,ESB,CIF MED USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,AYT,CIF MED USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,NAV,CIF MED USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,ISL,CIF MED USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,ADB,CIF MED USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,DLM,CIF MED USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,BJV,CIF MED USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,GZP,CIF MED USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,SAW,CIF MED USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,SKP,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,TGD,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,TIV,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,BTS,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Jetex,KSC,Market price,MP,2025-03-13,2025-03-31
Jetex,BAH,ARAB GULF FOB HIGH PRIOR,PW,2025-03-13,2025-03-31
Jetex,JED,Market price,MP,2025-03-13,2025-03-31
Jetex,AQJ,Market price,MP,2025-03-13,2025-03-31
Jetex,AUH,ARAB GULF FOB HIGH PRIOR,1/2M,2025-03-13,2025-03-31
Jetex,DXB,ARAB GULF FOB HIGH PRIOR,PW,2025-03-13,2025-03-31
Jetex,RKT,ARAB GULF FOB HIGH PRIOR,1/2M,2025-03-13,2025-03-31
Jetex,SHJ,ARAB GULF FOB HIGH PRIOR,PW,2025-03-13,2025-03-31
Jetex,MCT,ARAB GULF FOB HIGH PRIOR,1/2M,2025-03-13,2025-03-31
Jetex,SLL,Market price,MP,2025-03-13,2025-03-31
Jetex,DIA,Market price,MP,2025-03-13,2025-03-31
Jetex,ALA,Market price,MP,2025-03-13,2025-03-31
Jetex,GYD,Market price,MP,2025-03-13,2025-03-31
Jetex,EVN,Market price,MP,2025-03-13,2025-03-31
Jetex,BUS,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,TBS,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Jetex,GAN,Market price,MP,2025-03-13,2025-03-31
Jetex,MLE,Market price,MP,2025-03-13,2025-03-31
LukOil,SOF3L,FOB MED  USDC.UGL,1/2M,2025-01-01,2025-12-31
LukOil,SOF4L,FOB MED  USDC.UGL,1/2M,2025-01-01,2025-12-31
LukOil,SOF3,FOB MED  USDC.UGL,1/2M,2025-01-01,2025-12-31
LukOil,SOF4,FOB MED  USDC.UGL,1/2M,2025-01-01,2025-12-31
LukOil,VAR3,FOB MED  USDC.UGL,1/2M,2025-01-01,2025-03-31
LukOil,VAR4,FOB MED  USDC.UGL,1/2M,2025-01-01,2025-03-31
LukOil,PDV3,FOB MED  USDC.UGL,1/2M,2025-01-01,2025-12-31
LukOil,PDV4,FOB MED  USDC.UGL,1/2M,2025-01-01,2025-12-31
LukOil,BOJ3,FOB MED  USDC.UGL,1/2M,2025-01-01,2025-03-31
LukOil,BOJ4,FOB MED  USDC.UGL,1/2M,2025-01-01,2025-03-31
Air BP,AGP,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,AJA,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,ALC,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,ATH,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,BAH,ARAB GULF FOB HIGH PRIOR,1/2M,2025-03-13,2025-03-31
Air BP,BCN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,BER,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,BLL,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,BRU,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,BSL,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,BUD,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,CFU,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,CHQ,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,CPH,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,DBV,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,DWC,ARAB GULF FOB HIGH PRIOR,1/2M,2025-03-13,2025-03-31
Air BP,DXB,ARAB GULF FOB HIGH PRIOR,1/2M,2025-03-13,2025-03-31
Air BP,EFL,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,FAO,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,FDH,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,FKB,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,FMM,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,FRA,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,GDN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,GOT,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,GRO,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,GRX,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,GVA,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,HAD,Market price,MP,2025-03-13,2025-03-31
Air BP,HEL,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,HER,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,HHN,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,IBZ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,JAI,ARAB GULF FOB HIGH PRIOR,1/2M,2025-03-13,2025-03-31
Air BP,JMK,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,JTR,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,KEF,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,KGS,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,KLX,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,KTW,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,KVA,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,LCA,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Air BP,LGW,HNWE  USDC.UGL,1/2M,2025-03-13,2025-03-31
Air BP,LIN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,LIS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,LPA,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,LUX,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,LYS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,MAD,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,MLH,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,MRS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,MUC,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,NCE,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,NUE,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,OPO,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,PFO,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Air BP,PMI,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,POZ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,PVK,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,RHO,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,SHJ,ARAB GULF FOB HIGH PRIOR,1/2M,2025-03-13,2025-03-31
Air BP,SKG,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,SPU,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,STN,HNWE  USDC.UGL,1/2M,2025-03-13,2025-03-31
Air BP,STR,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,SVQ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,TFN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,TFS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,TLS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,TLV,Market price,MP,2025-03-13,2025-03-31
Air BP,VLC,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,VXO,Market price,MP,2025-03-13,2025-03-31
Air BP,WAW,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,XRY,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,ZAD,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,ZAG,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,ZAZ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,ZRH,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,ZTH,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
